#est#"","variable","expected_gain","EVPI_do","EVPI_dont"
"n_years","n_years",NA,0,0
"discount_rate","discount_rate",8524136.72142957,0,8524136.72142957
"var_CV","var_CV",8640620.50315055,0,8640620.50315055
"var_CV_high","var_CV_high",8673380.5917934,0,8673380.5917934
"exchange_rate","exchange_rate",NA,0,0
"inaccurate_forecast_i1","inaccurate_forecast_i1",8703364.31234855,0,8703364.31234855
"inaccurate_forecast_i234","inaccurate_forecast_i234",8707855.9569957,0,8707855.9569957
"inaccurate_forecast_extreme_cold_i1234","inaccurate_forecast_extreme_cold_i1234",8704595.78673202,0,8704595.78673202
"affected_coeff_inaccurate_forecast_i1234","affected_coeff_inaccurate_forecast_i1234",8704230.30888863,0,8704230.30888863
"met_station_esta_i1","met_station_esta_i1",8700056.05164913,0,8700056.05164913
"met_station_main_i1","met_station_main_i1",8703976.97032084,0,8703976.97032084
"cost_forecasts_access_i1","cost_forecasts_access_i1",8713492.523362,0,8713492.523362
"cost_weekly_forecasts_i1234","cost_weekly_forecasts_i1234",8702285.06247786,0,8702285.06247786
"cost_seasonal_forecasts_i1234","cost_seasonal_forecasts_i1234",8700894.96594646,0,8700894.96594646
"cost_cb_translation_staff_i1234","cost_cb_translation_staff_i1234",8705403.0877159,0,8705403.0877159
"cb_translation_n12","cb_translation_n12",NA,0,0
"cb_translation_n234","cb_translation_n234",NA,0,0
"cost_cb_commune_i1234","cost_cb_commune_i1234",8705353.73976484,0,8705353.73976484
"n_communes","n_communes",NA,0,0
"leftlet_year1_i1234","leftlet_year1_i1234",8701373.00021286,0,8701373.00021286
"village_meeting_launch_i1234","village_meeting_launch_i1234",8703557.64940722,0,8703557.64940722
"video_i1234_peryear","video_i1234_peryear",8703643.00181438,0,8703643.00181438
"cost_print_seasonal_bulletinA0_i1234","cost_print_seasonal_bulletinA0_i1234",8696202.32294515,0,8696202.32294515
"n_print_per_year","n_print_per_year",NA,0,0
"n_per_village","n_per_village",NA,0,0
"cost_per_SMS_i123","cost_per_SMS_i123",8702217.34191465,0,8702217.34191465
"messages_per_time_rice_i123","messages_per_time_rice_i123",8708159.0195662,0,8708159.0195662
"number_times_per_year_rice_i123","number_times_per_year_rice_i123",8705768.2896923,0,8705768.2896923
"total_farm_households_i1234","total_farm_households_i1234",8706687.43069054,0,8706687.43069054
"total_households_i1234","total_households_i1234",8702986.13536309,0,8702986.13536309
