"","variable","expected_gain","EVPI_do","EVPI_dont"
"n_years","n_years",NA,0,0
"discount_rate","discount_rate",7077157.3724895,0,7077157.3724895
"var_CV","var_CV",7175330.8175423,0,7175330.8175423
"var_CV_high","var_CV_high",7201430.1829854,0,7201430.1829854
"exchange_rate","exchange_rate",NA,0,0
"inaccurate_forecast_i1","inaccurate_forecast_i1",7226504.34127808,0,7226504.34127808
"inaccurate_forecast_i234","inaccurate_forecast_i234",7230091.69682508,0,7230091.69682508
"inaccurate_forecast_extreme_cold_i1234","inaccurate_forecast_extreme_cold_i1234",7229479.29659657,0,7229479.29659657
"affected_coeff_inaccurate_forecast_i1234","affected_coeff_inaccurate_forecast_i1234",7228486.91098722,0,7228486.91098722
"met_station_esta_i1","met_station_esta_i1",7225198.7582083,0,7225198.7582083
"met_station_main_i1","met_station_main_i1",7228479.11666144,0,7228479.11666144
"cost_forecasts_access_i1","cost_forecasts_access_i1",7236514.33539914,0,7236514.33539914
"cost_weekly_forecasts_i1234","cost_weekly_forecasts_i1234",7225443.92873196,0,7225443.92873196
"cost_seasonal_forecasts_i1234","cost_seasonal_forecasts_i1234",7224943.59823932,0,7224943.59823932
"cost_cb_translation_staff_i1234","cost_cb_translation_staff_i1234",7230527.6566625,0,7230527.6566625
"cb_translation_n12","cb_translation_n12",NA,0,0
"cb_translation_n234","cb_translation_n234",NA,0,0
"cost_cb_commune_i1234","cost_cb_commune_i1234",7231597.88074118,0,7231597.88074118
"n_communes","n_communes",NA,0,0
"leftlet_year1_i1234","leftlet_year1_i1234",7227280.29940623,0,7227280.29940623
"village_meeting_launch_i1234","village_meeting_launch_i1234",7226794.84991734,0,7226794.84991734
"video_i1234_peryear","video_i1234_peryear",7228589.2303488,0,7228589.2303488
"cost_print_seasonal_bulletinA0_i1234","cost_print_seasonal_bulletinA0_i1234",7220451.144468,0,7220451.144468
"n_print_per_year","n_print_per_year",NA,0,0
"n_per_village","n_per_village",NA,0,0
"cost_per_SMS_i123","cost_per_SMS_i123",7226806.67863291,0,7226806.67863291
"messages_per_time_rice_i123","messages_per_time_rice_i123",7231336.42096229,0,7231336.42096229
"number_times_per_year_rice_i123","number_times_per_year_rice_i123",7227492.44912438,0,7227492.44912438
"total_farm_households_i1234","total_farm_households_i1234",7230298.93436835,0,7230298.93436835
"total_households_i1234","total_households_i1234",7225088.70833447,0,7225088.70833447
"messages_per_time_animal_i123","messages_per_time_animal_i123",7230501.5188575,0,7230501.5188575
"number_times_per_year_animal_i12","number_times_per_year_animal_i12",7229022.99465651,0,7229022.99465651
"percent_animal_households_i1234","percent_animal_households_i1234",7220998.72957417,0,7220998.72957417
"commune_village_SMS_i3","commune_village_SMS_i3",NA,0,0
"n_village","n_village",NA,0,0
"allowance_village_leader_permonth_loud_i34","allowance_village_leader_permonth_loud_i34",7224340.66285137,0,7224340.66285137
"months_per_year","months_per_year",NA,0,0
"allowance_bulletin_collect_time_short_i4","allowance_bulletin_collect_time_short_i4",NA,0,0
"times_per_month","times_per_month",NA,0,0
"percent_short_distance_i4","percent_short_distance_i4",7225380.89193919,0,7225380.89193919
"allowance_bulletin_collect_time_long_i4","allowance_bulletin_collect_time_long_i4",NA,0,0
"percent_long_distance_i4","percent_long_distance_i4",7231195.36354626,0,7231195.36354626
"no_model_compare_i1234","no_model_compare_i1234",NA,0,0
"model_training_i1234","model_training_i1234",7232104.07190102,0,7232104.07190102
"n_training","n_training",NA,0,0
"percent_fertilizer_model_supporti1234","percent_fertilizer_model_supporti1234",NA,0,0
"plant_protection_support_i1234","plant_protection_support_i1234",NA,0,0
"model_monitor_i1234","model_monitor_i1234",7226166.05483538,0,7226166.05483538
"field_visit_i1234","field_visit_i1234",7228457.60224717,0,7228457.60224717
"SAA_TOT","SAA_TOT",7227658.29311426,0,7227658.29311426
"dialogue_village","dialogue_village",7225916.38420019,0,7225916.38420019
"n_dialogues","n_dialogues",NA,0,0
"cost_community_event","cost_community_event",7229338.72604475,0,7229338.72604475
"ME_district_i1234","ME_district_i1234",7227549.91477209,0,7227549.91477209
"ME_commune_i1234","ME_commune_i1234",7226329.69774061,0,7226329.69774061
"total_rice_area_i1234","total_rice_area_i1234",NA,0,0
"rice_area_drought_i1234","rice_area_drought_i1234",7217737.82455735,0,7217737.82455735
"chance_drought_i1234","chance_drought_i1234",7204971.65511007,0,7204971.65511007
"yield_change_i1234","yield_change_i1234",7228942.34679761,0,7228942.34679761
"rice_price","rice_price",7230810.498352,0,7230810.498352
"reduce_loss_drought_i1234","reduce_loss_drought_i1234",7223128.62465741,0,7223128.62465741
"seed_farmers_i1234","seed_farmers_i1234",7223773.82102697,0,7223773.82102697
"seed_guideline_i1234","seed_guideline_i1234",7224445.33868615,0,7224445.33868615
"price_seed_i1234","price_seed_i1234",7226218.34458821,0,7226218.34458821
"labor_pick_i1234","labor_pick_i1234",7224829.7035914,0,7224829.7035914
"chance_rain_cold_i1234","chance_rain_cold_i1234",7227550.36148607,0,7227550.36148607
"percent_reduce_reseed_times_i1234","percent_reduce_reseed_times_i1234",7228264.10772285,0,7228264.10772285
"reduce_reseed_costsperha_i1234","reduce_reseed_costsperha_i1234",NA,0,0
"reseed_area_percentage_i1234","reseed_area_percentage_i1234",7225972.96232891,0,7225972.96232891
"rate_seed_inno_i1","rate_seed_inno_i1",7228802.14004695,0,7228802.14004695
"rate_seed_imitation_i1","rate_seed_imitation_i1",7224916.76012273,0,7224916.76012273
"rate_seed_inno_i2","rate_seed_inno_i2",7226607.81680403,0,7226607.81680403
"rate_seed_imitation_i2","rate_seed_imitation_i2",7225496.64600748,0,7225496.64600748
"rate_seed_inno_i3","rate_seed_inno_i3",7230005.01986996,0,7230005.01986996
"rate_seed_imitation_i3","rate_seed_imitation_i3",7227044.21492875,0,7227044.21492875
"rate_seed_inno_i4","rate_seed_inno_i4",7227012.14054356,0,7227012.14054356
"rate_seed_imitation_i4","rate_seed_imitation_i4",7230352.62246796,0,7230352.62246796
"rate_saturated_i12","rate_saturated_i12",7224500.55264001,0,7224500.55264001
"rate_saturated_i34","rate_saturated_i34",7228250.25341729,0,7228250.25341729
"dis_adoption_i123","dis_adoption_i123",7028953.03336322,0,7028953.03336322
"dis_adoption_i4","dis_adoption_i4",7146983.67514445,0,7146983.67514445
"effective_rate","effective_rate",7221367.62525927,0,7221367.62525927
"NPK5105f_dose_i1234","NPK5105f_dose_i1234",NA,0,0
"NPK5105a_dose_i1234","NPK5105a_dose_i1234",NA,0,0
"NPK5105_price_i1234","NPK5105_price_i1234",7229496.73475097,0,7229496.73475097
"NPK12510f_dose_i1234","NPK12510f_dose_i1234",NA,0,0
"NPK12510a_dose_i1234","NPK12510a_dose_i1234",NA,0,0
"NPK12510_price_i1234","NPK12510_price_i1234",7228184.60098023,0,7228184.60098023
"Nf_dose_i1234","Nf_dose_i1234",7225534.87140119,0,7225534.87140119
"Na_dose_i1234","Na_dose_i1234",7225462.00113,0,7225462.00113
"N_price_i1234","N_price_i1234",7225817.48357503,0,7225817.48357503
"Kf_dose_i1234","Kf_dose_i1234",7222245.1118989,0,7222245.1118989
"Ka_dose_i1234","Ka_dose_i1234",7227544.27989806,0,7227544.27989806
"K_price_i1234","K_price_i1234",7225958.74539219,0,7225958.74539219
"chance_refertilize_reduced_i1234","chance_refertilize_reduced_i1234",7225519.28094558,0,7225519.28094558
"refertilize_area_percentage_i1234","refertilize_area_percentage_i1234",7225361.37540153,0,7225361.37540153
"costs_reduced_no_re_fertilizer_i1234","costs_reduced_no_re_fertilizer_i1234",7226199.29970416,0,7226199.29970416
"rate_fer_pla_inno_i1","rate_fer_pla_inno_i1",7224501.90316004,0,7224501.90316004
"rate_fer_pla_immi_i1","rate_fer_pla_immi_i1",7221976.50229798,0,7221976.50229798
"rate_fer_pla_inno_i2","rate_fer_pla_inno_i2",7222584.31339799,0,7222584.31339799
"rate_fer_pla_immi_i2","rate_fer_pla_immi_i2",7224156.11197673,0,7224156.11197673
