"","0%","5%","10%","25%","50%","75%","90%","95%","100%","mean","chance_loss","chance_zero","chance_gain"
"y.output_1"," 4.5e+06"," 6.8e+06","7.2e+06","7.9e+06","8.7e+06","9.5e+06","1.0e+07","1.1e+07","1.4e+07","8.7e+06","0.0000","0","1.00"
"y.output_2"," 3.1e+06"," 5.4e+06","5.8e+06","6.4e+06","7.2e+06","8.0e+06","8.7e+06","9.2e+06","1.3e+07","7.2e+06","0.0000","0","1.00"
"y.output_3"," 5.3e+06"," 8.0e+06","8.4e+06","9.3e+06","1.0e+07","1.1e+07","1.2e+07","1.3e+07","1.6e+07","1.0e+07","0.0000","0","1.00"
"y.output_4"," 2.0e+06"," 3.7e+06","4.0e+06","4.6e+06","5.3e+06","6.1e+06","6.9e+06","7.4e+06","1.0e+07","5.4e+06","0.0000","0","1.00"
"y.output_5","-3.3e+06","-1.2e+05","2.5e+05","8.6e+05","1.5e+06","2.2e+06","2.8e+06","3.2e+06","5.5e+06","1.5e+06","0.0633","0","0.94"
"y.output_6","-1.6e+06"," 1.2e+06","1.5e+06","2.2e+06","3.0e+06","3.7e+06","4.5e+06","4.9e+06","7.9e+06","3.0e+06","0.0031","0","1.00"
"y.output_7"," 3.7e+00"," 6.0e+00","6.4e+00","7.1e+00","7.9e+00","8.8e+00","9.6e+00","1.0e+01","1.5e+01","8.0e+00","0.0000","0","1.00"
"y.output_8"," 2.7e+00"," 5.0e+00","5.4e+00","6.0e+00","6.8e+00","7.7e+00","8.5e+00","9.0e+00","1.3e+01","6.9e+00","0.0000","0","1.00"
"y.output_9"," 1.5e+01"," 2.2e+01","2.4e+01","2.6e+01","2.9e+01","3.2e+01","3.4e+01","3.6e+01","4.8e+01","2.9e+01","0.0000","0","1.00"
"y.output_10"," 3.4e+00"," 6.6e+00","7.1e+00","8.1e+00","9.5e+00","1.1e+01","1.2e+01","1.3e+01","1.8e+01","9.6e+00","0.0000","0","1.00"
"y.output_11","-3.9e+04"," 2.5e+05","3.1e+05","4.3e+05","5.9e+05","7.6e+05","9.0e+05","9.8e+05","1.7e+06","6.0e+05","0.0005","0","1.00"
"y.output_12"," 9.9e+05"," 1.6e+06","1.8e+06","2.0e+06","2.3e+06","2.6e+06","2.9e+06","3.1e+06","4.1e+06","2.3e+06","0.0000","0","1.00"
"y.output_13"," 1.9e+06"," 3.2e+06","3.4e+06","3.8e+06","4.3e+06","4.8e+06","5.2e+06","5.5e+06","7.1e+06","4.3e+06","0.0000","0","1.00"
"y.output_14"," 3.3e+06"," 4.9e+06","5.3e+06","5.9e+06","6.5e+06","7.2e+06","7.8e+06","8.2e+06","1.0e+07","6.5e+06","0.0000","0","1.00"
"y.output_15"," 4.5e+06"," 6.8e+06","7.2e+06","7.9e+06","8.7e+06","9.5e+06","1.0e+07","1.1e+07","1.4e+07","8.7e+06","0.0000","0","1.00"
"y.output_16","-1.8e+05"," 9.3e+04","1.4e+05","2.3e+05","3.6e+05","4.9e+05","6.2e+05","6.9e+05","1.2e+06","3.7e+05","0.0072","0","0.99"
"y.output_17"," 4.6e+05"," 1.2e+06","1.3e+06","1.5e+06","1.8e+06","2.0e+06","2.3e+06","2.4e+06","3.6e+06","1.8e+06","0.0000","0","1.00"
"y.output_18"," 1.1e+06"," 2.4e+06","2.6e+06","2.9e+06","3.3e+06","3.8e+06","4.2e+06","4.4e+06","6.5e+06","3.4e+06","0.0000","0","1.00"
"y.output_19"," 1.9e+06"," 3.8e+06","4.1e+06","4.6e+06","5.2e+06","5.8e+06","6.4e+06","6.8e+06","9.6e+06","5.2e+06","0.0000","0","1.00"
"y.output_20"," 3.1e+06"," 5.4e+06","5.8e+06","6.4e+06","7.2e+06","8.0e+06","8.7e+06","9.2e+06","1.3e+07","7.2e+06","0.0000","0","1.00"
"y.output_21"," 4.9e+05"," 9.5e+05","1.0e+06","1.2e+06","1.4e+06","1.6e+06","1.8e+06","1.9e+06","2.5e+06","1.4e+06","0.0000","0","1.00"
"y.output_22"," 1.6e+06"," 2.4e+06","2.5e+06","2.8e+06","3.2e+06","3.5e+06","3.9e+06","4.1e+06","5.4e+06","3.2e+06","0.0000","0","1.00"
"y.output_23"," 2.7e+06"," 4.0e+06","4.3e+06","4.7e+06","5.3e+06","5.8e+06","6.4e+06","6.7e+06","9.0e+06","5.3e+06","0.0000","0","1.00"
"y.output_24"," 3.8e+06"," 5.9e+06","6.3e+06","7.0e+06","7.7e+06","8.5e+06","9.2e+06","9.7e+06","1.3e+07","7.7e+06","0.0000","0","1.00"
"y.output_25"," 5.3e+06"," 8.0e+06","8.4e+06","9.3e+06","1.0e+07","1.1e+07","1.2e+07","1.3e+07","1.6e+07","1.0e+07","0.0000","0","1.00"
"y.output_26"," 3.5e+05"," 6.9e+05","7.5e+05","8.8e+05","1.1e+06","1.3e+06","1.4e+06","1.5e+06","1.9e+06","1.1e+06","0.0000","0","1.00"
"y.output_27"," 9.5e+05"," 1.6e+06","1.7e+06","1.9e+06","2.2e+06","2.5e+06","2.8e+06","2.9e+06","3.9e+06","2.2e+06","0.0000","0","1.00"
"y.output_28"," 1.4e+06"," 2.4e+06","2.6e+06","2.9e+06","3.3e+06","3.7e+06","4.1e+06","4.4e+06","6.1e+06","3.3e+06","0.0000","0","1.00"
"y.output_29"," 1.7e+06"," 3.1e+06","3.4e+06","3.8e+06","4.4e+06","4.9e+06","5.5e+06","5.9e+06","8.0e+06","4.4e+06","0.0000","0","1.00"
"y.output_30"," 2.0e+06"," 3.7e+06","4.0e+06","4.6e+06","5.3e+06","6.1e+06","6.9e+06","7.4e+06","1.0e+07","5.4e+06","0.0000","0","1.00"
