"","VIP","Coefficient"
"discount_rate",0.928077364973845,-64681.6211925261
"var_CV",0.0125868680093588,-877.231855131621
"var_CV_high",0.226981533590871,15819.2992605063
"inaccurate_forecast_i1",0.253538458837872,-17670.1632549247
"inaccurate_forecast_i234",0.432801771269408,-30163.7786646064
"inaccurate_forecast_extreme_cold_i1234",0.0194067714254257,-1352.53965378705
"affected_coeff_inaccurate_forecast_i1234",0.783666897374269,-54617.0473606079
"met_station_esta_i1",0.02344346602978,1633.87390578243
"met_station_main_i1",0.0238205589631878,1660.15510085689
"cost_forecasts_access_i1",0.00440693305396555,307.137729218787
"cost_weekly_forecasts_i1234",0.128387220590204,8947.84624815295
"cost_seasonal_forecasts_i1234",0.0128148562482441,-893.121315924951
"cost_cb_translation_staff_i1234",0.273197239429589,-19040.2664891267
"cost_cb_commune_i1234",0.121775788288789,8487.06767968495
"leftlet_year1_i1234",0.00826190995244827,-575.807308786246
"village_meeting_launch_i1234",0.0763680895297244,5322.41386826384
"video_i1234_peryear",0.13000032494024,-9060.27028568556
"cost_print_seasonal_bulletinA0_i1234",0.0379529695893439,-2645.10233172058
"cost_per_SMS_i123",0.0601820793864263,4194.34263603775
"messages_per_time_rice_i123",0.0345589124986466,2408.55619523283
"number_times_per_year_rice_i123",0.0672343070260228,-4685.84208852218
"total_farm_households_i1234",0.0643364014894079,-4483.87484393118
"total_households_i1234",0.065408160338909,4558.57023305439
"messages_per_time_animal_i123",0.0159311369615709,1110.30804651035
"number_times_per_year_animal_i12",0.0836672111450571,-5831.12040198523
"percent_animal_households_i1234",0.205878463409707,14348.5374005876
"allowance_village_leader_permonth_loud_i34",0.225349857691366,-15705.5808934564
"percent_short_distance_i4",0.066869207715034,4660.39677951855
"percent_long_distance_i4",0.199354206835581,-13893.8344757917
"model_training_i1234",0.0570797321629139,-3978.12698905386
"model_monitor_i1234",0.0117942485233543,-821.990864155612
"field_visit_i1234",0.0242241867406235,1688.28562099258
"SAA_TOT",0.153240661207738,10679.9872226282
"dialogue_village",0.0894706274908235,-6235.58493464836
"cost_community_event",0.0192685411378448,-1342.90580273532
"ME_district_i1234",0.0493013165510193,-3436.01643763364
"ME_commune_i1234",0.26587147389568,-18529.7030284793
"rice_area_drought_i1234",0.355592364670298,24782.7298656368
"chance_drought_i1234",0.606814831656784,42291.4818920691
"yield_change_i1234",0.0845174576388631,-5890.377661895
"rice_price",2.38643486042457,166320.698541086
"reduce_loss_drought_i1234",0.136369341090708,9504.15385138948
"seed_farmers_i1234",0.410789086408369,28629.6219257958
"seed_guideline_i1234",0.309341293895528,-21559.2979056442
"price_seed_i1234",0.0854409806700715,5954.74187238179
"labor_pick_i1234",0.680364344486524,47417.4572765482
"chance_rain_cold_i1234",0.390296219817354,27201.3877246241
"percent_reduce_reseed_times_i1234",0.224008793038205,15612.116448396
"reseed_area_percentage_i1234",0.0752794313388609,5246.54069285075
"rate_seed_inno_i1",0.0917579679251271,6394.99932518696
"rate_seed_imitation_i1",0.134023950976707,9340.69373413212
"rate_seed_inno_i2",0.00685668707566192,-477.871406847804
"rate_seed_imitation_i2",0.0496640930086899,3461.29985720425
"rate_seed_inno_i3",0.0262379071655704,-1828.63028042486
"rate_seed_imitation_i3",0.0208185097840989,-1450.92964710537
"rate_seed_inno_i4",0.853706612052302,59498.4101264856
"rate_seed_imitation_i4",0.254590836980519,17743.5079209438
"rate_saturated_i12",0.126101708678891,8788.55929508439
"rate_saturated_i34",0.109269384670817,-7615.44372695416
"dis_adoption_i123",0.0430097680502812,-2997.53191878039
"dis_adoption_i4",6.23410822778879,-434481.264257973
"effective_rate",5.86716410353106,408907.382446158
"NPK5105_price_i1234",0.212847564485978,14834.2434126941
"NPK12510_price_i1234",0.136793616461069,9533.72338925634
"Nf_dose_i1234",0.398233834793947,27754.5935504149
"Na_dose_i1234",0.228928247547004,-15954.9739568549
"N_price_i1234",0.88048476634765,61364.6925052348
"Kf_dose_i1234",0.287195060108017,20015.8335795584
"Ka_dose_i1234",0.324966718858927,-22648.2995951567
"K_price_i1234",0.118163968681058,8235.34475603669
"chance_refertilize_reduced_i1234",1.44873147339002,100968.199320479
"refertilize_area_percentage_i1234",1.04199737196696,72621.1863803766
"costs_reduced_no_re_fertilizer_i1234",0.0486911889109979,-3393.49407217108
"rate_fer_pla_inno_i1",0.11661484000114,8127.37945245903
"rate_fer_pla_immi_i1",0.212995284811269,-14844.5386644517
"rate_fer_pla_inno_i2",0.122517791318494,8538.78099659411
"rate_fer_pla_immi_i2",0.0442716678445626,-3085.47903133489
"rate_fer_pla_inno_i3",0.244781806374064,17059.8752563647
"rate_fer_pla_immi_i3",0.0611196543011583,4259.68618148238
"rate_fer_pla_inno_i4",4.83968999876079,337298.383737572
"rate_fer_pla_immi_i4",0.905018940748275,63074.5824721098
"reduced_times_spray_i1234",0.155204196779903,10816.834288261
"reduced_cost_per_time_spray_i1234",0.0403665691837263,2813.3162550056
"total_buffalo_i1234",0.0200591520847091,-1398.00681015746
"price_buffalo_i1234",0.10059632975988,7010.98199401768
"chance_extreme_cold",0.0928230440340488,6469.22896596742
"reduced_death_animal_i1",0.000871450411300187,-60.7350502437675
"reduced_death_animal_i2",0.0304279626432399,2120.65289773105
"reduced_death_animal_i3",0.105873753105932,7378.78785872763
"reduced_death_animal_i4",0.58796100672472,40977.4794087521
"rate_ani_inno_i1",0.120866117017962,-8423.66885673122
"rate_ani_immi_i1",0.00698209522230836,486.611628883141
"rate_ani_inno_i2",0.0941018323290981,-6558.35310928509
