"","5%","50%","95%","enbPa","elPa","elSq","eol","optimalChoice"
"output_1"," 6.8e+06","8.7e+06","1.1e+07","8.7e+06","    0.0","8.7e+06","    0.0","PA"
"output_2"," 5.4e+06","7.2e+06","9.2e+06","7.2e+06","    0.0","7.2e+06","    0.0","PA"
"output_3"," 8.0e+06","1.0e+07","1.3e+07","1.0e+07","    0.0","1.0e+07","    0.0","PA"
"output_4"," 3.7e+06","5.3e+06","7.4e+06","5.4e+06","    0.0","5.4e+06","    0.0","PA"
"output_5","-1.2e+05","1.5e+06","3.2e+06","1.5e+06","29112.7","1.5e+06","29112.7","PA"
"output_6"," 1.2e+06","3.0e+06","4.9e+06","3.0e+06"," 1035.4","3.0e+06"," 1035.4","PA"
"output_7"," 6.0e+00","7.9e+00","1.0e+01","8.0e+00","    0.0","8.0e+00","    0.0","PA"
"output_8"," 5.0e+00","6.8e+00","9.0e+00","6.9e+00","    0.0","6.9e+00","    0.0","PA"
"output_9"," 2.2e+01","2.9e+01","3.6e+01","2.9e+01","    0.0","2.9e+01","    0.0","PA"
"output_10"," 6.6e+00","9.5e+00","1.3e+01","9.6e+00","    0.0","9.6e+00","    0.0","PA"
"output_11"," 2.5e+05","5.9e+05","9.8e+05","6.0e+05","    7.6","6.0e+05","    7.6","PA"
"output_12"," 1.6e+06","2.3e+06","3.1e+06","2.3e+06","    0.0","2.3e+06","    0.0","PA"
"output_13"," 3.2e+06","4.3e+06","5.5e+06","4.3e+06","    0.0","4.3e+06","    0.0","PA"
"output_14"," 4.9e+06","6.5e+06","8.2e+06","6.5e+06","    0.0","6.5e+06","    0.0","PA"
"output_15"," 6.8e+06","8.7e+06","1.1e+07","8.7e+06","    0.0","8.7e+06","    0.0","PA"
"output_16"," 9.3e+04","3.6e+05","6.9e+05","3.7e+05","  243.7","3.7e+05","  243.7","PA"
"output_17"," 1.2e+06","1.8e+06","2.4e+06","1.8e+06","    0.0","1.8e+06","    0.0","PA"
"output_18"," 2.4e+06","3.3e+06","4.4e+06","3.4e+06","    0.0","3.4e+06","    0.0","PA"
"output_19"," 3.8e+06","5.2e+06","6.8e+06","5.2e+06","    0.0","5.2e+06","    0.0","PA"
"output_20"," 5.4e+06","7.2e+06","9.2e+06","7.2e+06","    0.0","7.2e+06","    0.0","PA"
"output_21"," 9.5e+05","1.4e+06","1.9e+06","1.4e+06","    0.0","1.4e+06","    0.0","PA"
"output_22"," 2.4e+06","3.2e+06","4.1e+06","3.2e+06","    0.0","3.2e+06","    0.0","PA"
"output_23"," 4.0e+06","5.3e+06","6.7e+06","5.3e+06","    0.0","5.3e+06","    0.0","PA"
"output_24"," 5.9e+06","7.7e+06","9.7e+06","7.7e+06","    0.0","7.7e+06","    0.0","PA"
"output_25"," 8.0e+06","1.0e+07","1.3e+07","1.0e+07","    0.0","1.0e+07","    0.0","PA"
"output_26"," 6.9e+05","1.1e+06","1.5e+06","1.1e+06","    0.0","1.1e+06","    0.0","PA"
"output_27"," 1.6e+06","2.2e+06","2.9e+06","2.2e+06","    0.0","2.2e+06","    0.0","PA"
"output_28"," 2.4e+06","3.3e+06","4.4e+06","3.3e+06","    0.0","3.3e+06","    0.0","PA"
"output_29"," 3.1e+06","4.4e+06","5.9e+06","4.4e+06","    0.0","4.4e+06","    0.0","PA"
"output_30"," 3.7e+06","5.3e+06","7.4e+06","5.4e+06","    0.0","5.4e+06","    0.0","PA"
