"","VIP","Coefficient"
"discount_rate",0.588028405103225,-0.0568845067849707
"var_CV",0.0551198295573856,-0.00533216472407164
"var_CV_high",0.0561049872068503,-0.0054274665947107
"chance_inaccurate_forecast_i1",0.105514343478168,-0.0102072133512698
"chance_inaccurate_forecast_i234",0.0952676666878843,-0.00921597355682836
"chance_inaccurate_forecast_extreme_cold_i1234",0.0638778358350802,0.00617939397898983
"chance_inaccurate_forecast_extreme_drought_i1234",0.137162707968872,-0.0132688028748042
"met_station_esta_i1",0.16849337206061,-0.0162996587971322
"met_station_main_i1",0.158988541006844,-0.0153801834420716
"cost_forecasts_access_i1",0.101512628005592,-0.00982009665932821
"cost_weekly_forecasts_i1234",0.0548615242921256,-0.00530717687061633
"cost_seasonal_forecasts_i1234",0.0864588008410891,0.00836382426492136
"cost_cb_translation_staff_i1234",0.100031538607072,-0.00967681949923172
"cost_cb_commune_i1234",0.155098393475105,-0.0150038595744773
"leftlet_year1_i1234",0.100540883759524,-0.00972609237028541
"village_meeting_launch_i1234",0.304646545868693,-0.0294708016740168
"video_i1234_peryear",0.0312283668338551,-0.00302095992239039
"cost_print_seasonal_bulletinA0_i1234",0.157647526120873,0.015250456766085
"cost_per_SMS_i123",0.114478841098083,-0.0110744181006635
"messages_per_time_rice_i123",0.107679885271484,-0.0104167028517191
"number_times_per_year_rice_i123",0.0179892116894702,0.00174023469874096
"baseline_farm_households_i1234",0.10704253355248,0.0103550469217173
"baseline_households_i1234",0.00727719628078172,0.000703979123486429
"household_increase_rate",0.138389896570903,0.0133875182595592
"messages_per_time_animal_i123",0.0617795556824234,-0.00597641121396571
"number_times_per_year_animal_i123",0.0397689619841846,-0.00384715732809449
"percent_animal_households_i1234",0.0506428365963305,-0.00489907078803177
"allowance_village_leader_permonth_loud_i34",0.340814012395602,-0.03296955866805
"percent_short_distance_i4",0.346931814762102,0.0335613807079483
"model_training_i1234",0.253002394689697,0.024474866031027
"model_monitor_i1234",0.0720611847142384,-0.0069710322073481
"field_visit_i1234",0.104927061861277,-0.010150401087048
"SAA_TOT",0.177394319419597,0.0171607158413851
"dialogue_village",0.0937406430161468,0.00906825282146607
"cost_community_event",0.186264725287337,-0.01801881837247
"ME_district_i1234",0.0786389545907607,0.00760735043946704
"ME_commune_i1234",0.106512043754768,-0.0103037285666252
"rice_area_drought_i1234",0.835284281698334,0.0808034679571428
"chance_drought_i1234",0.896089616156527,0.0866856352649317
"reduce_loss_drought_i1234",0.147678496089642,0.014286075876438
"rice_profit_no_drought",0.0743334129268685,-0.00719084230505191
"seed_baseline_i1234",1.98551266544214,0.192073899336821
"seed_applied_i1234",1.26250829415357,-0.122132130015477
"seed_advice_i1234",0.030133955105566,-0.00291508906505912
"price_seed_i1234",0.292918803338993,0.0283362870082056
"labor_pick_i1234",0.394957660799755,0.03820728988695
"rate_seed_inno_i1",0.181107147567244,-0.0175198862422081
"rate_seed_imitation_i1",0.0636203334522965,-0.00615448379452683
"rate_seed_inno_i2",0.132193781962816,0.0127881204746813
"rate_seed_imitation_i2",0.0483074634941245,0.0046731521998735
"rate_seed_inno_i3",0.220833167328797,-0.0213628894390847
"rate_seed_imitation_i3",0.224977071448853,-0.0217637611316557
"rate_seed_inno_i4",0.744429838314312,0.0720144194073267
"rate_seed_imitation_i4",0.00743935133722422,-0.00071966562830213
"rate_saturated_i12",0.0187412963784043,0.00181298963067837
"rate_saturated_i34",0.0329659800867311,-0.00318905260637481
"dis_adoption_i123",0.0503868644108568,0.00487430863131455
"dis_adoption_i4",3.51588773038086,-0.340118840719839
"effective_rate",3.58043089418146,0.346362596986162
"chance_resow_i1234",0.0398686603479711,-0.00385680191703279
"chance_resow_advice_i1234",0.0747853879248809,0.00723456532016129
"resow_fer_area_percentage_i1234",0.357101057939158,0.0345451297538838
"labor_seed_fertilize_i1234",0.105791809821598,0.0102340548030747
"NPK5105_baseline_i1234",2.09716288769282,0.202874683397666
"NPK5105_applied_i1234",0.733964072055961,-0.0710019854048765
"NPK5105_price_i1234",0.090838890436039,0.00878754399362896
"N_baseline_i1234",3.77107604277214,0.364805167369517
"N_applied_i1234",1.443370589929,-0.139628329862109
"N_price_i1234",0.395690359218857,0.0382781694360178
"K_baseline_i1234",1.11177749123935,0.107550781042084
"K_applied_i1234",1.49782435026062,-0.144896060591049
"K_price_i1234",0.157948503524321,-0.0152795726234143
"rice_area_loss_severe_risks_i1234",0.611890448578868,-0.0591928656367087
"chance_refertilize_i1234",0.211467077075177,0.0204568355478834
"chance_refertilize_advice_i1234",0.0796749679901062,-0.00770757197763244
"rate_fer_pla_inno_i1",0.0750821790101465,-0.00726327620275981
"rate_fer_pla_immi_i1",0.124384615668887,-0.0120326798034879
"rate_fer_pla_inno_i2",0.0457244084075597,-0.00442327342986434
"rate_fer_pla_immi_i2",0.013689077096383,0.00132424963183962
"rate_fer_pla_inno_i3",0.00197564046856829,0.000191118885862678
"rate_fer_pla_immi_i3",0.0277413700074259,0.00268363592084431
"rate_fer_pla_inno_i4",2.09939230883806,0.203090352438756
"rate_fer_pla_immi_i4",0.387747944547067,0.0375098386251835
"reduced_times_spray_i1234",0.0593943876613885,-0.00574567558062154
"reduced_cost_per_time_spray_i1234",0.0382339357914759,-0.00369866244737709
"times_monitor_increased",0.0249030769031086,-0.00240906601580387
"cost_monitor_pest_increased",0.19092445215121,0.0184695895632895
"yield_change_i1234",0.139951590985434,-0.0135385929623261
"rice_price",0.0241064646953907,0.00233200359476833
"rate_ani_inno_i1",0.0250503477845909,0.0024233126599867
"rate_ani_immi_i1",0.164440546460185,-0.0159075978297284
"rate_ani_inno_i2",0.103869993771988,-0.0100481427669132
"rate_ani_immi_i2",0.0665907419330729,-0.00644183423527501
"rate_ani_inno_i3",0.0805662794532895,-0.00779379538543885
"rate_ani_immi_i3",0.0769264591903992,0.00744168759839393
"rate_ani_inno_i4",0.0523666766286874,-0.00506583108254441
"rate_ani_immi_i4",0.107628521896487,0.0104117340777141
"total_buffalo_i1234",0.0253227199605821,0.0024496613138251
"price_buffalo_i1234",0.0600181213380555,0.00580601413272967
"chance_extreme_cold",0.110195309366642,0.0106600391561668
"reduced_death_animal_i1",0.0419330221843495,-0.00405650350265175
"reduced_death_animal_i2",0.00873419659137783,0.000844925960976804
"reduced_death_animal_i3",0.0288089359846215,-0.00278690978235534
"reduced_death_animal_i4",0.324954798996186,0.0314353750735262
"total_cow_i1234",0.00958521488680938,0.000927251501002565
"price_cow_i1234",0.105663815852538,-0.0102216729627788
"area_pond_impacted_i1234",0.0380780428072578,0.00368358172093339
"chance_reduced_risk_fish_death",0.290063152087497,0.0280600379161865
"lost_fish_i1234",0.148690101718799,0.0143839362634127
"reduced_water_expenditure_i1234",0.201893370735276,-0.0195306973570696
"percent_pollution_reduction_i1234",5.06719591249998,0.490188803404456
"new_income_farm_peryear_i12",0.106632257131934,0.0103153577304713
"rate_farm",0.158157394807615,0.015299780282634
"new_income_nonfarm_peryear_i12",0.180878859455008,-0.0174978021786548
"rate_nonfarm",0.114086941052919,0.0110365065974357
"gender_coverage",0.139550335771441,0.0134997764617203
"reduced_expenditure_health_i1234",5.42288274897083,0.52459712464703
"methan_reduction_co2eq",0.138057448324115,0.0133553579856916
"nito_oxide_reduction_co2eq",0.0377795544717045,-0.00365470665027072
"carbon_price",0.0808254379966359,0.00781886578304114
