"","VIP","Coefficient"
"discount_rate",1.9383803341417,-153499.959285186
"var_CV",0.143576187768968,-11369.7702090119
"var_CV_high",0.160332771644325,-12696.72080654
"chance_inaccurate_forecast_i1",0.256183764992914,-20287.1422100712
"chance_inaccurate_forecast_i234",0.124979346742893,-9897.09000788945
"chance_inaccurate_forecast_extreme_cold_i1234",0.0483225695134366,-3826.65482218304
"chance_inaccurate_forecast_extreme_drought_i1234",0.0148908289565388,-1179.20183066833
"met_station_esta_i1",0.220196655127731,-17437.3300231646
"met_station_main_i1",0.145836601951925,-11548.771965757
"cost_forecasts_access_i1",0.010274151426268,813.608040612059
"cost_weekly_forecasts_i1234",0.0665077058135859,-5266.73220663736
"cost_seasonal_forecasts_i1234",0.0343480652214491,2720.0165623595
"cost_cb_translation_staff_i1234",0.0139516154063417,-1104.82569344901
"cost_cb_commune_i1234",0.215277493851347,-17047.782604455
"leftlet_year1_i1234",0.127166493930286,-10070.2897655955
"village_meeting_launch_i1234",0.0666734617314241,-5279.85838532959
"video_i1234_peryear",0.0409038262134871,-3239.16599224
"cost_print_seasonal_bulletinA0_i1234",0.158158766901917,12524.5617964801
"cost_per_SMS_i123",0.147813202413377,-11705.2985694436
"messages_per_time_rice_i123",0.0750028125650741,-5939.45804764428
"number_times_per_year_rice_i123",0.0140963732001824,1116.28903481158
"baseline_farm_households_i1234",0.00633974074767638,-502.04282900851
"baseline_households_i1234",0.0213159416320745,-1688.00524593521
"household_increase_rate",0.141300331197392,11189.5455725344
"messages_per_time_animal_i123",0.0512264579934804,4056.6131825751
"number_times_per_year_animal_i123",0.156601268365142,-12401.2237921831
"percent_animal_households_i1234",0.0248151821989656,-1965.10942156373
"allowance_village_leader_permonth_loud_i34",0.0226520821776835,-1793.81395423553
"percent_short_distance_i4",0.0245761818457375,-1946.18303036822
"model_training_i1234",0.279693207868403,22148.8503901652
"model_monitor_i1234",0.14229221892556,-11268.092967598
"field_visit_i1234",0.0514942104802422,-4077.81644959785
"SAA_TOT",0.0313551820849465,2483.01073254029
"dialogue_village",0.0137150502026299,-1086.09214126709
"cost_community_event",0.02434858650107,-1928.15979956845
"ME_district_i1234",0.0783720599717385,6206.26809035641
"ME_commune_i1234",0.126827625338953,-10043.4548281704
"rice_area_drought_i1234",0.467912183252668,37053.8742130452
"chance_drought_i1234",0.613208850403346,48559.8888475663
"reduce_loss_drought_i1234",0.105775763576738,8376.36201544431
"rice_profit_no_drought",0.0220990970162969,-1750.02316753435
"seed_baseline_i1234",2.30572003851185,182589.518579347
"seed_applied_i1234",1.41285490253687,-111883.70321107
"seed_advice_i1234",0.0372116748705983,2946.7852500163
"price_seed_i1234",0.301821690276028,23901.2005810876
"labor_pick_i1234",0.487445596693818,38600.7214004136
"rate_seed_inno_i1",0.101364960907985,-8027.07141537829
"rate_seed_imitation_i1",0.0913495362952217,-7233.9519004902
"rate_seed_inno_i2",0.269501596565394,21341.7786857595
"rate_seed_imitation_i2",0.0220523655738414,1746.32251375247
"rate_seed_inno_i3",0.490051470692017,38807.0800523151
"rate_seed_imitation_i3",0.141930475647092,11239.4465881756
"rate_seed_inno_i4",0.00788859259971313,-624.696104033456
"rate_seed_imitation_i4",0.228746752844126,-18114.4105879198
"rate_saturated_i12",0.0414142898614013,-3279.58950861152
"rate_saturated_i34",0.0534985910874681,4236.54295759114
"dis_adoption_i123",0.377363795381951,-29883.3650994925
"dis_adoption_i4",0.17178599868963,-13603.6996146576
"effective_rate",3.82942511467101,303251.425344217
"chance_resow_i1234",0.00147913658494947,117.13253666882
"chance_resow_advice_i1234",0.0195612927606764,1549.05494522518
"resow_fer_area_percentage_i1234",0.402142721875012,31845.6034388016
"labor_seed_fertilize_i1234",0.0573583611401739,4542.19739263929
"NPK5105_baseline_i1234",2.19188217002047,173574.720053609
"NPK5105_applied_i1234",0.813951141841396,-64456.63161771
"NPK5105_price_i1234",0.074302086381104,5883.96767828026
"N_baseline_i1234",3.86025724381437,305693.015616684
"N_applied_i1234",1.45411650473722,-115151.201413687
"N_price_i1234",0.415374932031521,32893.4595713168
"K_baseline_i1234",1.19396466891646,94549.8284513804
"K_applied_i1234",1.53040051535468,-121192.117284346
