"","0%","5%","10%","25%","50%","75%","90%","95%","100%","mean","chance_loss","chance_zero","chance_gain"
"y.output_1"," 2.9e+05"," 6.5e+05"," 9.0e+05"," 1.5e+06"," 2.0e+06"," 2.7e+06"," 3.2e+06"," 3.5e+06","3.8e+06"," 2.1e+06","0.00","0","1.00"
"y.output_2"," 3.2e+05"," 3.8e+05"," 5.4e+05"," 1.2e+06"," 1.7e+06"," 2.1e+06"," 2.6e+06"," 2.8e+06","3.9e+06"," 1.7e+06","0.00","0","1.00"
"y.output_3","-2.3e+05"," 8.1e+05"," 1.0e+06"," 1.7e+06"," 2.4e+06"," 3.0e+06"," 3.7e+06"," 3.9e+06","5.3e+06"," 2.3e+06","0.01","0","0.99"
"y.output_4","-3.9e+05"," 1.4e+04"," 1.6e+05"," 6.6e+05"," 9.8e+05"," 1.5e+06"," 1.9e+06"," 2.3e+06","2.6e+06"," 1.0e+06","0.05","0","0.95"
"y.output_5","-1.6e+06","-7.1e+05","-6.3e+05","-1.5e+05"," 2.6e+05"," 6.4e+05"," 9.5e+05"," 1.1e+06","2.9e+06"," 2.5e+05","0.32","0","0.68"
"y.output_6","-6.6e+05","-4.1e+05","-1.1e+05"," 2.0e+05"," 6.1e+05"," 1.0e+06"," 1.4e+06"," 1.7e+06","2.8e+06"," 6.4e+05","0.17","0","0.83"
"y.output_7"," 1.3e+00"," 1.7e+00"," 1.9e+00"," 2.6e+00"," 3.2e+00"," 4.0e+00"," 4.5e+00"," 4.9e+00","5.2e+00"," 3.3e+00","0.00","0","1.00"
"y.output_8"," 1.3e+00"," 1.4e+00"," 1.6e+00"," 2.3e+00"," 2.9e+00"," 3.6e+00"," 4.0e+00"," 4.2e+00","5.4e+00"," 2.9e+00","0.00","0","1.00"
"y.output_9"," 3.5e-01"," 3.2e+00"," 3.8e+00"," 5.7e+00"," 7.6e+00"," 9.7e+00"," 1.1e+01"," 1.2e+01","1.7e+01"," 7.6e+00","0.00","0","1.00"
"y.output_10"," 3.0e-01"," 1.0e+00"," 1.3e+00"," 2.1e+00"," 2.8e+00"," 3.6e+00"," 4.5e+00"," 5.1e+00","5.7e+00"," 2.9e+00","0.00","0","1.00"
"y.output_11","-4.7e+05","-3.5e+05","-3.3e+05","-2.7e+05","-2.0e+05","-8.8e+04","-1.4e+04"," 6.1e+04","1.3e+05","-1.8e+05","0.93","0","0.07"
"y.output_12","-3.5e+05","-1.7e+05","-1.0e+05"," 2.9e+04"," 2.1e+05"," 4.0e+05"," 5.9e+05"," 7.0e+05","9.7e+05"," 2.3e+05","0.21","0","0.79"
"y.output_13","-2.3e+05"," 4.4e+04"," 2.3e+05"," 4.4e+05"," 7.5e+05"," 1.1e+06"," 1.4e+06"," 1.5e+06","2.0e+06"," 7.6e+05","0.04","0","0.96"
