"","VIP","Coefficient"
"discount_rate",0.770636382030405,-32037.4889656439
"var_CV",0.288916741124129,-12011.0691911103
"var_CV_high",0.0793244815837426,-3297.73841814843
"chance_inaccurate_forecast_i1",0.120602962828839,-5013.79921964344
"chance_inaccurate_forecast_i234",0.223753266282691,-9302.04304742473
"chance_inaccurate_forecast_extreme_cold_i1234",0.00375346892692685,156.042099923284
"chance_inaccurate_forecast_extreme_drought_i1234",0.119901425323735,4984.63436238672
"met_station_esta_i1",0.120855473546653,-5024.29678960552
"met_station_main_i1",0.00841180862147805,349.702184033505
"cost_forecasts_access_i1",0.0366286932008295,-1522.75623317409
"cost_weekly_forecasts_i1234",0.185611816219794,-7716.39732135064
"cost_seasonal_forecasts_i1234",0.0429572189394587,-1785.85057733929
"cost_cb_translation_staff_i1234",0.0180288044072835,749.507336703069
"cost_cb_commune_i1234",0.0812307917897208,-3376.98901364745
"leftlet_year1_i1234",0.238720445990088,-9924.270165043
"village_meeting_launch_i1234",0.0486537011730232,-2022.66912231892
"video_i1234_peryear",0.0729271531474062,-3031.78375526483
"cost_print_seasonal_bulletinA0_i1234",0.181750448600067,7555.86957390204
"cost_per_SMS_i123",0.337555006396451,14033.0966002816
"messages_per_time_rice_i123",1.10013429767247,45735.6299861501
"number_times_per_year_rice_i123",0.241761982946736,10050.7152810009
"baseline_farm_households_i1234",0.0556853533847028,2314.99438153961
"baseline_households_i1234",0.0146688530452607,609.824851946388
"household_increase_rate",0.073375779452568,3050.43439340815
"messages_per_time_animal_i123",0.241760333556142,10050.6467112653
"number_times_per_year_animal_i123",0.0639122016580447,2657.00725158448
"percent_animal_households_i1234",0.171400892103065,7125.60984336814
"allowance_village_leader_permonth_loud_i34",0.100598089585385,-4182.14122796173
"percent_short_distance_i4",0.0883053580091673,-3671.09832703735
"model_training_i1234",0.127717037823769,5309.55102226448
"model_monitor_i1234",0.0333387770516649,-1385.98530620455
"field_visit_i1234",0.0191446908990906,-795.897829030968
