variable,distribution,lower   , upper 
n_years,const,5,5
discount_rate,posnorm,0.5,4
var_CV,posnorm,0.02,0.1
var_CV_high,posnorm,0.1,0.4
exchange_rate,const,23240,23240
inaccurate_forecast_i1,tnorm_0_1,0.2,0.3
inaccurate_forecast_i234,tnorm_0_1,0.35,0.4
inaccurate_forecast_extreme_cold_i1234,tnorm_0_1,0.2,0.25
affected_coeff_inaccurate_forecast_i1234,tnorm_0_1,0.25,0.35
met_station_esta_i1,posnorm,695800000,765380000
met_station_main_i1,posnorm,14700000,16170000
cost_forecasts_access_i1,posnorm,132450000,145695000
cost_weekly_forecasts_i1234,posnorm,24000000,27000000
cost_seasonal_forecasts_i1234,posnorm,24000000,27000000
cost_cb_translation_staff_i1234,posnorm,8050000,8855000
cb_translation_n12,const,4,4
cb_translation_n234,const,2,2
cost_cb_commune_i1234,posnorm,16450000,18095000
n_communes,const,21,21
leftlet_year1_i1234,posnorm,5000,5500
village_meeting_launch_i1234,posnorm,10000000,11000000
video_i1234_peryear,posnorm,46000000,50600000
cost_print_seasonal_bulletinA0_i1234,posnorm,35000,40000
n_print_per_year,const,4,4
n_per_village,const,4,4
cost_per_SMS_i123,posnorm,680,800
messages_per_time_rice_i123,posnorm,2,3
number_times_per_year_rice_i123,posnorm,48,53
total_farm_households_i1234,posnorm,27490,28177
total_households_i1234,posnorm,34362,35221
messages_per_time_animal_i123,posnorm,2,3
number_times_per_year_animal_i12,posnorm,12,24
percent_animal_households_i1234,tnorm_0_1,0.3,0.4
commune_village_SMS_i3,const,278,278
n_village,const,275,275
allowance_village_leader_permonth_loud_i34,posnorm,100000,150000
months_per_year,const,12,12
allowance_bulletin_collect_time_short_i4,const,50000,50000
times_per_month,const,4,4
percent_short_distance_i4,posnorm,0.65,0.75
allowance_bulletin_collect_time_long_i4,const,150000,150000
percent_long_distance_i4,posnorm,0.25,0.35
no_model_compare_i1234,const,2,2
model_training_i1234,posnorm,4500000,5000000
n_training,const,2,2
percent_fertilizer_model_supporti1234,const,0.6,0.6
plant_protection_support_i1234,const,500000,500000
model_monitor_i1234,posnorm,10000000,12000000
field_visit_i1234,posnorm,60000000,66000000
SAA_TOT,posnorm,124000000,136400000
dialogue_village,posnorm,1000000,1100000
n_dialogues,const,5,5
cost_community_event,posnorm,10000000,11000000
ME_district_i1234,posnorm,20000000,22000000
ME_commune_i1234,posnorm,20000000,22000000
total_rice_area_i1234,const,9336,9336
rice_area_drought_i1234,posnorm,60,200
chance_drought_i1234,tnorm_0_1,0.125,0.5
yield_change_i1234,norm,1.872,3.15
rice_price,posnorm,8000000,10000000
reduce_loss_drought_i1234,posnorm,19550000,21505000
seed_farmers_i1234,posnorm,100,120
seed_guideline_i1234,posnorm,70,80
price_seed_i1234,posnorm,20000,30000
labor_pick_i1234,posnorm,750000,1500000
chance_rain_cold_i1234,tnorm_0_1,0.35,0.65
